,0
370,"['Argentina:13', 'Australia:PG', 'Austria:10', 'Brazil:12', 'Canada:PG::(Alberta/Manitoba/Ontario)', 'Canada:PG::(British Columbia)', 'Canada:G::(British Columbia)', 'Chile:TE+7', 'Colombia:T', 'Denmark:11', 'Finland:K-12', 'France:Tous publics', 'Germany:12', 'Hong Kong:IIA', 'Hungary:12', 'India:U', 'Ireland:PG', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Luxembourg:12', 'Malaysia:P13', 'Mexico:B', 'Netherlands:12', 'New Zealand:PG', 'Norway:9', 'Philippines:PG-13', 'Portugal:M/12', 'Singapore:PG', 'South Africa:7-9', 'South Korea:12', 'Spain:12', 'Sweden:11', 'Switzerland:12', 'Taiwan:PG-12', 'Thailand:G', 'United Kingdom:PG', 'United States:PG-13']"
371,"['Argentina:13', 'Australia:M', 'Austria:12', 'Brazil:12', 'Canada:PG::(Ontario)', 'Canada:G::(Québec)', 'Chile:TE', 'Denmark:11', 'Finland:K-12', 'France:Tous publics', 'Germany:12', 'Hong Kong:IIA', 'Hungary:12', 'Iceland:12', 'India:UA', 'Indonesia:13+', 'Ireland:12A', 'Ireland:12::(Blu-ray rating)', 'Ireland:12::(DVD rating)', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Malaysia:P13', 'Malta:12A', 'Mexico:B', 'Netherlands:12', 'New Zealand:M', 'Norway:12::(cinema rating)', 'Philippines:PG-13', 'Poland:7', 'Portugal:M/12', 'Russia:12+', 'Singapore:PG', 'South Africa:10-12', 'South Korea:12', 'Spain:7', 'Sweden:11', 'Switzerland:12', 'Taiwan:PG-12', 'Thailand:G', 'Turkey:13A', 'United Kingdom:12A', 'United Kingdom:PG-13', 'United Kingdom:12::(Blu-ray rating)', 'United Kingdom:12::(DVD rating)', 'United States:PG-13', 'Ukraine:12']"
372,"['Argentina:Atp', 'Australia:PG', 'Austria:0', 'Brazil:12', 'Canada:PG', 'Chile:TE', 'Denmark:A', 'Finland:K-7', 'France:Tous publics', 'Germany:0', 'Hong Kong:IIA', 'Hungary:12', 'Iceland:L', 'Ireland:12A', 'Italy:T', 'Lithuania:N-13', 'Malta:PG', 'Mexico:B', 'Netherlands:AL', 'New Zealand:PG', 'Norway:A::(cinema rating)', 'Philippines:PG-13', 'Portugal:M/12', 'South Africa:10-12', 'South Africa:PG::(DVD rating)', 'South Korea:15', 'Spain:A', 'Sweden:Btl', 'Switzerland:0', 'Taiwan:R-12', 'Thailand:13', 'United Kingdom:12A', 'United Kingdom:12::(video rating)', 'United States:PG-13', 'Ukraine:12']"
373,"['Argentina:16', 'Australia:MA15+', 'Austria:16', 'Brazil:16', 'Canada:14A::(Alberta/British Columbia/Manitoba/Ontario)', 'Canada:13+::(Quebec)', 'Chile:14', 'Colombia:15', 'Denmark:15', 'Finland:K-16', 'France:12', 'Germany:16', 'Hong Kong:IIB', 'India:UA', 'Indonesia:17+', 'Ireland:15::(DVD rating)', 'Ireland:15A::(theatrical)', 'Italy:T', 'Japan:PG12', 'Lithuania:N-16', 'Luxembourg:16', 'Malaysia:18', 'Malta:15', 'Mexico:B15', 'Netherlands:16', 'New Zealand:R16', 'Nigeria:18', 'Norway:15::(cinema rating)', 'Philippines:R-13', 'Portugal:M/16', 'Singapore:NC16', 'Singapore:M18::(DVD rating)', 'South Africa:16', 'South Korea:15', 'Spain:18', 'Sweden:15', 'Switzerland:16', 'Taiwan:R-15', 'Turkey:15+', 'United Kingdom:15', 'United Kingdom:15', 'United Kingdom:18', 'United States:R', 'Ukraine:16', 'Vietnam:C18']"
374,"['Argentina:13', 'Australia:M', 'Austria:6', 'Belgium:KT/EA', 'Brazil:12', 'Canada:14A::(British Columbia)', 'Canada:G::(Quebec)', 'Chile:TE+7', 'Colombia:12', 'Denmark:11', 'Finland:K-12', 'France:Tous publics', 'Germany:12', 'Hong Kong:IIB', 'Hungary:12', 'Indonesia:D', 'Ireland:15A', 'Italy:T', 'Japan:PG12', 'Lithuania:N-13', 'Mexico:B', 'Netherlands:9', 'New Zealand:M', 'Norway:7', 'Philippines:PG-13', 'Portugal:M/12', 'Russia:16+', 'South Korea:15', 'Spain:7', 'Sweden:15', 'Switzerland:12', 'Taiwan:R-12', 'Thailand:15', 'Turkey:15+', 'United Kingdom:15', 'United States:R', 'Ukraine:12']"
375,"['Argentina:18', 'Australia:R18+', 'Brazil:18', 'Canada:R', 'Canada:18+::(Québec)', 'Denmark:15', 'Finland:K-18', 'France:18', 'Germany:18', 'Hong Kong:III', 'Hungary:18', 'Iceland:18', 'India:A', 'Ireland:18', 'Italy:VM18::(self-applied)', 'Japan:R18+', 'Lithuania:N-18', 'Mexico:D', 'Netherlands:16', 'New Zealand:R18', 'Norway:18::(DVD and Blu-ray rating)', 'Norway:18::(cinema rating)', 'Philippines:R-18', 'Poland:18', 'Portugal:M/18', 'Romania:I.M.-18', 'Russia:18+', 'South Korea:18', 'Spain:18', 'Sweden:15', 'Switzerland:18', 'Taiwan:R-18', 'United Kingdom:18', 'United States:TV-MA::(Netflix rating)']"
376,"['Argentina:13::(with warning)', 'Australia:M', 'Austria:10', 'Belgium:KT/EA', 'Brazil:12', 'Canada:PG::(Alberta/British Columbia/Manitoba/Ontario)', 'Canada:G::(Quebec)', 'Chile:TE+7', 'Colombia:T', 'Denmark:11', 'Finland:K-12', 'France:Tous publics', 'Germany:12', 'Hong Kong:IIA', 'Hungary:12', 'India:UA', 'Indonesia:13+', 'Ireland:12A', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Luxembourg:12', 'Malaysia:P13', 'Maldives:15+', 'Mexico:B', 'Netherlands:12', 'New Zealand:M', 'Nigeria:15', 'Norway:12::(cinema rating)', 'Philippines:G', 'Portugal:M/12', 'Russia:12+', 'Singapore:PG', 'South Africa:10-12', 'South Korea:12', 'Spain:7', 'Sweden:11', 'Switzerland:12', 'Taiwan:PG-12', 'Thailand:G', 'Turkey:13A', 'United Kingdom:12A', 'United Kingdom:12::(DVD rating)', 'United States:PG-13', 'Ukraine:16', 'Vietnam:C13']"
377,"['Australia:M', 'Canada:PG::(Alberta)', 'Canada:PG::(British Columbia)', 'France:Tous Public', 'Germany:12', 'Hong Kong:IIA', 'Italy:T', 'Japan:G', 'New Zealand:M', 'Philippines:PG-13', 'Singapore:PG', 'South Korea:12', 'Spain:7', 'United Kingdom:PG', 'United States:Not Rated', 'United States:TV-Y7', 'United States:TV-PG']"
378,"['Argentina:Atp', 'Australia:M', 'Austria:0', 'Brazil:Livre', 'Canada:PG::(Alberta)', 'Canada:PG::(British Columbia)', 'Canada:PG::(Manitoba)', 'Canada:PG::(Ontario)', 'Canada:G::(Quebec)', 'Chile:TE', 'Colombia:T', 'Denmark:A', 'Finland:S', 'France:Tous publics', 'Germany:0', 'Hong Kong:IIA', 'Hungary:12', 'Iceland:L', 'India:A', 'Ireland:PG', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Luxembourg:A', 'Malaysia:P13', 'Malta:12A', 'Mexico:B', 'Netherlands:AL', 'New Zealand:M', 'Norway:A::(cinema rating)', 'Philippines:PG-13', 'Portugal:M/12', 'Russia:16+', 'Singapore:PG13', 'Slovakia:12', 'South Africa:7-9', 'South Korea:12', 'Spain:A::(ICAA)', 'Sweden:Btl', 'Switzerland:0', 'Taiwan:GP', 'Thailand:G', 'Turkey:G', 'United Kingdom:12A', 'United States:PG-13', 'Ukraine:ZA', 'Vietnam:P', 'Vietnam:C13']"
379,"['Argentina:13', 'Australia:MA15+', 'Austria:10', 'Brazil:14', 'Finland:K-12', 'France:Tous publics', 'Germany:12', 'Hungary:12', 'Italy:T', 'Japan:PG12', 'Mexico:B-15', 'Netherlands:12', 'New Zealand:M', 'Norway:12', 'Norway:A::(DVD rating)', 'Portugal:M/14', 'South Korea:18', 'Spain:12::(ICAA)', 'Sweden:11', 'Switzerland:8', 'Taiwan:R-15', 'United Kingdom:15', 'United States:Not Rated']"
380,"['Australia:PG', 'Brazil:12', 'Canada:PG::(Alberta/Maritimes/Manitoba/Ontario)', 'Canada:G::(British Columbia)', 'Chile:TE', 'Denmark:15', 'Finland:K-12', 'Germany:6', 'Ireland:12A', 'Japan:G', 'Lithuania:N-13', 'Mexico:B', 'Netherlands:9', 'New Zealand:PG', 'Norway:A::(cinema rating)', 'Philippines:PG-13', 'Singapore:PG13', 'South Africa:10-12', 'South Africa:7-9::(DVD rating)', 'South Korea:12', 'Spain:A', 'Sweden:15', 'Switzerland:10', 'United Kingdom:12A', 'United States:PG-13', 'Ukraine:12']"
381,"['Argentina:16', 'Australia:MA15+', 'Austria:16', 'Brazil:14', 'Canada:14A::(Alberta/British Columbia/Manitoba/Ontario/Saskatchewan)', 'Canada:13+::(Québec)', 'Chile:TE+7', 'Finland:K-16', 'France:Tous publics::(with warning)', 'Germany:16', 'Hong Kong:IIB', 'Hungary:16', 'Ireland:15A', 'Ireland:15::(Blu-ray rating)', 'Ireland:15::(DVD rating)', 'Italy:T', 'Japan:PG12', 'Lithuania:N-16', 'Malaysia:18', 'Mexico:B15', 'Netherlands:16', 'New Zealand:R16', 'Norway:15::(cinema rating)', 'Philippines:R-16', 'Portugal:M/14', 'Russia:16+', 'Singapore:M18', 'South Africa:16', 'South Korea:18', 'Spain:16::(ICAA)', 'Sweden:15', 'Switzerland:16', 'Taiwan:R-15', 'Thailand:15', 'Turkey:15+', 'United Kingdom:15', 'United Kingdom:15::(Blu-ray rating)', 'United Kingdom:15::(DVD rating)', 'United States:R', 'Ukraine:16']"
382,"['Argentina:16', 'Australia:M', 'Austria:14', 'Brazil:14', 'Canada:14A::(British Columbia)', 'Denmark:15', 'Finland:K-16', 'France:12', 'Germany:16', 'Hong Kong:IIB', 'Hungary:12', 'Ireland:15A', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Mexico:B-15', 'Netherlands:16', 'New Zealand:RP16', 'Norway:15::(cinema rating)', 'Portugal:M/16', 'Singapore:M18', 'South Korea:18', 'Spain:18', 'Sweden:15', 'Switzerland:14', 'Taiwan:R-15', 'United Kingdom:15', 'United States:R']"
383,"['Argentina:13', 'Australia:PG', 'Brazil:10', 'Canada:PG', 'Chile:TE', 'Colombia:T', 'Denmark:11', 'Finland:K-12', 'France:Tous Public', 'Germany:12', 'Hong Kong:IIA', 'Ireland:12A', 'Italy:T', 'Japan:G', 'Mexico:A', 'New Zealand:PG', 'Philippines:PG-13', 'Singapore:PG', 'South Korea:All', 'Spain:12', 'Sweden:11', 'Turkey:7+', 'United Kingdom:12A', 'United States:Not Rated', 'United States:TV-PG', 'Vietnam:C13::(Netflix)', 'Vietnam:P::(cinema rating)']"
384,"['Germany:16', 'United States:Not Rated']"
385,"['Argentina:13::(with warning)', 'Australia:MA15+', 'Austria:16', 'Brazil:18', 'Brazil:16', 'Canada:18A::(Alberta/British Columbia/Manitoba/Ontario)', 'Canada:13+::(Quebec)', 'Chile:14', 'Colombia:15', 'Denmark:15', 'Finland:K-16', 'France:12', 'Germany:16', 'Hong Kong:IIB', 'Hungary:18', 'India:A', 'Indonesia:17+', 'Ireland:16', 'Ireland:15::(video rating)', 'Italy:T', 'Japan:R15+', 'Lithuania:N-16', 'Luxembourg:16', 'Malaysia:18', 'Mexico:B15', 'Netherlands:16', 'New Zealand:R16', 'Nigeria:18', 'Norway:15', 'Philippines:R-16', 'Philippines:R-13', 'Portugal:M/14', 'Singapore:M18', 'South Africa:16', 'South Africa:18::(video)', 'South Korea:18', 'Spain:16', 'Sweden:15', 'Switzerland:16', 'Taiwan:R-15', 'Turkey:15+', 'United Kingdom:15', 'United States:R', 'Ukraine:16', 'Vietnam:C18']"
386,"['Argentina:13::(with warning)', 'Brazil:16', 'Chile:14', 'Denmark:15', 'Finland:K-16::(TV)', 'Germany:12', 'Hong Kong:IIB', 'Hungary:16', 'Ireland:15A', 'Japan:G', 'New Zealand:R16', 'Norway:15::(TV rating)', 'Portugal:M/14', 'South Korea:15', 'Spain:12::(TV rating)', 'Sweden:15', 'United Kingdom:15', 'United States:R']"
387,"['Argentina:Atp', 'Australia:PG', 'Canada:G::(British Columbia)', 'Chile:TE', 'Colombia:7', 'Germany:6', 'Japan:G', 'Mexico:A', 'Netherlands:6', 'New Zealand:PG', 'Norway:9::(cinema rating)', 'Singapore:PG', 'South Korea:12', 'United Kingdom:PG', 'United States:PG']"
388,"['Argentina:16', 'Australia:MA15+', 'Austria:14', 'Brazil:16::(DVD rating)', 'Canada:14A::(British Columbia)', 'Denmark:15', 'Finland:K-16', 'France:Tous publics avec avertissement', 'Germany:12', 'Hong Kong:IIB', 'Ireland:15A', 'Japan:G', 'Mexico:B15', 'Netherlands:12', 'New Zealand:R13', 'Norway:15::(cinema rating)', 'Singapore:M18', 'South Korea:15', 'Spain:16::(ICAA)', 'Sweden:15', 'United Kingdom:15', 'United States:R']"
389,"['Finland:K-7::(TV)', 'Singapore:PG13', 'United Kingdom:15']"
390,"['Argentina:Atp', 'Australia:PG', 'Austria:6', 'Belgium:KT/EA', 'Brazil:10', 'Bulgaria:B', 'Canada:PG::(Alberta/British Columbia/Manitoba/Saskatchewan)', 'Canada:G::(Quebec)', 'Chile:TE', 'Colombia:T', 'Czech Republic:U', 'Denmark:7', 'Ecuador:TP', 'Finland:K-7', 'France:Tous publics', 'Germany:6', 'Hong Kong:I', 'Hungary:12', 'Iceland:10', 'India:U', 'Indonesia:SU', 'Ireland:PG', 'Italy:T', 'Japan:G', 'Lithuania:N-7', 'Luxembourg:6', 'Malaysia:P13', 'Maldives:PG', 'Malta:PG', 'Mexico:A', 'Netherlands:12', 'New Zealand:PG', 'Nigeria:G', 'Norway:9', 'Peru:Apt', 'Philippines:G', 'Poland:7', 'Portugal:M/6', 'Puerto Rico:PG', 'Russia:6+', 'Singapore:PG', 'South Africa:PG', 'South Africa:7-9::(DVD rating)', 'South Korea:All', 'Spain:A/i::(ICAA)', 'Sweden:7', 'Switzerland:6', 'Taiwan:GP', 'Thailand:G', 'Turkey:7A', 'United Kingdom:PG', 'United States:PG', 'Ukraine:ZA', 'Vietnam:P']"
391,"['Australia:M', 'Belgium:KT/EA', 'Canada:PG::(Alberta)', 'Canada:PG::(British Columbia)', 'Canada:PG::(Manitoba)', 'Canada:PG::(Ontario)', 'Canada:G::(Quebec)', 'France:Tous publics', 'France:12', 'Germany:12', 'Germany:16::(new rating)', 'Hong Kong:IIA', 'India:UA', 'Ireland:12A', 'Japan:G', 'Malaysia:P13', 'Netherlands:12', 'New Zealand:M', 'Norway:9', 'Singapore:PG13', 'South Africa:7-9', 'South Africa:10-12::(DVD rating)', 'South Korea:12::(VHS and DVD rating)', 'Switzerland:16', 'United Kingdom:12A', 'United Kingdom:12::(DVD rating)', 'United States:Not Rated', 'United States:TV-PG::(DVD rating)', 'United States:TV-14::(TV rating)']"
392,"['Austria:0', 'Germany:0', 'Hungary:12', 'South Korea:12', 'Switzerland:8', 'Taiwan:GP']"
393,"['Argentina:Atp', 'Australia:G', 'Austria:8', 'Brazil:Livre', 'Canada:G::(British Columbia)', 'Canada:G::(Québec)', 'Chile:TE', 'Colombia:T', 'Denmark:7', 'Finland:K-7', 'France:Tous publics', 'Germany:6', 'Hong Kong:I', 'Hungary:6', 'India:U', 'Indonesia:SU', 'Ireland:G', 'Italy:T', 'Japan:G', 'Malaysia:U', 'Maldives:12+', 'Mexico:A', 'Netherlands:6', 'New Zealand:G', 'Norway:7::(cinema rating)', 'Philippines:G', 'Portugal:M/6', 'Russia:6+', 'Singapore:PG', 'South Africa:PG', 'South Korea:All', 'Spain:A/i::(ICAA)', 'Sweden:7', 'Switzerland:6', 'Taiwan:GP', 'Turkey:7+', 'United Kingdom:U', 'United States:TV-G', 'United States:TV-PG', 'United States:PG', 'Ukraine:ZA']"
394,"['Argentina:13::(with warning)', 'Australia:M', 'Brazil:14', 'Canada:14A', 'Canada:14A::(Alberta/British Columbia/Manitoba/Ontario)', 'Canada:14A::(British Columbia)', 'Canada:14A::(Canadian Home Video rating)', 'Canada:13+::(Quebec)', 'Chile:14', 'Finland:K-16', 'France:12', 'Germany:12', 'Greece:K-12', 'Hong Kong:IIB', 'Hungary:16', 'Ireland:15A', 'Italy:T', 'Lithuania:N-13', 'Malaysia:P13', 'Mexico:B', 'Netherlands:16', 'New Zealand:M', 'Norway:15::(cinema rating)', 'Philippines:R-13', 'Portugal:M/14', 'Russia:16+', 'Singapore:PG13', 'South Africa:13', 'South Africa:10-12::(DVD rating)', 'South Korea:15', 'Sweden:15', 'Taiwan:R-12', 'Thailand:15', 'United Kingdom:15', 'United States:PG-13', 'Ukraine:16', 'Vietnam:C16']"
395,"['Argentina:13::(with warning)', 'Australia:MA15+', 'Austria:14', 'Brazil:14', 'Canada:14A::(Alberta/British Columbia/Manitoba/Ontario/Saskatchewan)', 'Canada:13+::(Quebec)', 'Chile:14', 'Colombia:15', 'Finland:K-16', 'France:Tous publics::(with warning)', 'Germany:16', 'Hong Kong:IIB', 'India:UA', 'Indonesia:17+', 'Ireland:15A', 'Italy:T', 'Japan:G', 'Malaysia:18', 'Maldives:18+', 'Mexico:B', 'Netherlands:16', 'New Zealand:R13', 'Norway:15::(cinema rating)', 'Philippines:R-13', 'Portugal:M/14', 'Russia:18+', 'Singapore:NC16', 'South Africa:16', 'South Korea:15', 'Spain:16', 'Sweden:15', 'Switzerland:16', 'Taiwan:R-12', 'Thailand:15', 'Turkey:15+', 'United Kingdom:15', 'United States:TV-MA', 'United States:R', 'Ukraine:16', 'Vietnam:C16']"
396,"['Argentina:13', 'Australia:M', 'Austria:12', 'Brazil:12', 'Canada:PG::(Alberta/Manitoba)', 'Canada:PG::(British Columbia)', 'Canada:PG::(Ontario)', 'Canada:G::(Québec)', 'Chile:TE', 'Colombia:7', 'Czech Republic:12', 'Denmark:11', 'Finland:K-12', 'France:Tous publics', 'Germany:12', 'Hong Kong:IIA', 'Hungary:12', 'Iceland:12', 'India:UA', 'Indonesia:13+', 'Ireland:12A', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Luxembourg:12', 'Malaysia:P13', 'Mexico:B', 'Netherlands:12', 'New Zealand:M', 'Norway:12::(cinema rating)', 'Philippines:PG-13', 'Poland:12', 'Portugal:M/12', 'Russia:16+', 'Singapore:PG13', 'Slovakia:12', 'South Africa:10-12', 'South Korea:12', 'Spain:12::(ICAA)', 'Sweden:11', 'Switzerland:12', 'Taiwan:R-12', 'Thailand:G', 'Turkey:13+', 'United Kingdom:12A', 'United Kingdom:12::(video rating)', 'United States:PG-13', 'Ukraine:12', 'Vietnam:C13']"
397,"['Australia:M', 'Germany:16', 'South Korea:15', 'United States:R']"
398,"['Australia:PG', 'Austria:12', 'Brazil:14', 'Canada:PG::(Alberta)', 'Canada:PG::(British Columbia)', 'Denmark:15::(DVD rating)', 'France:Tous publics', 'Germany:12', 'Hong Kong:IIA', 'Ireland:12A', 'Italy:T', 'Japan:PG12', 'Netherlands:9', 'New Zealand:PG', 'Norway:15::(DVD rating)', 'Portugal:M/12', 'Singapore:NC16', 'South Africa:16', 'South Korea:15', 'Spain:12::(ICAA)', 'Sweden:15', 'Turkey:13+', 'United Kingdom:12A', 'United States:PG-13', 'Ukraine:16']"
399,"['Germany:12', 'South Korea:15', 'Switzerland:12']"
400,"['Argentina:13', 'Australia:M', 'Brazil:12', 'Canada:PG::(British Columbia)', 'Canada:G::(Quebec)', 'Denmark:15::(DVD rating)', 'Finland:K-12', 'Germany:6', 'Hong Kong:IIA', 'Ireland:PG', 'Italy:T', 'Luxembourg:6', 'Mexico:B', 'Netherlands:AL', 'New Zealand:M', 'Norway:7', 'Philippines:PG-13', 'Portugal:M/12', 'Singapore:PG', 'South Africa:10-12::(DVD rating)', 'South Africa:7-9::(theatrical rating)', 'South Korea:12', 'Spain:7', 'Sweden:11', 'Switzerland:10', 'Taiwan:GP', 'Turkey:13A', 'United Kingdom:PG', 'United States:PG-13', 'Ukraine:12', 'Vietnam:C13']"
401,"['Argentina:13', 'Australia:M', 'Australia:PG', 'Brazil:12', 'Brazil:10', 'Canada:PG::(British Columbia)', 'Canada:G::(Quebec)', 'Chile:TE', 'Denmark:11', 'Finland:K-12', 'France:Tous Public', 'Germany:12', 'Hong Kong:IIA', 'Hungary:12', 'Iceland:10', 'India:UA', 'Indonesia:13+', 'Ireland:12A', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Malaysia:P13', 'Mexico:B', 'Netherlands:12', 'New Zealand:PG', 'Norway:9', 'Philippines:PG-13', 'Portugal:M/12', 'Puerto Rico:PG-13', 'Russia:6+', 'Russia:16+::(DVD rating)', 'Singapore:PG', 'South Africa:10-12', 'South Korea:12', 'Spain:7::(ICAA)', 'Sweden:11', 'Switzerland:12', 'Taiwan:R-12', 'Thailand:G', 'United Kingdom:12A', 'United Kingdom:12::(video)', 'United States:PG-13', 'Vietnam:C13']"
402,"['Argentina:16', 'Australia:M', 'Austria:12', 'Brazil:12', 'Canada:PG::(British Columbia)', 'Chile:14', 'Colombia:12', 'Denmark:11', 'Finland:K-12', 'France:Tous publics', 'Germany:12', 'Hong Kong:IIA', 'Hungary:16', 'Ireland:15A', 'Italy:T', 'Japan:G', 'Malta:12', 'Mexico:B', 'Netherlands:12', 'New Zealand:M', 'Norway:9::(cinema rating)', 'Portugal:M/14', 'Singapore:PG13', 'South Korea:15', 'Spain:7', 'Sweden:11', 'Switzerland:12', 'Taiwan:R-12', 'Turkey:15+', 'United Kingdom:15', 'United States:PG-13', 'Ukraine:12']"
403,"['Argentina:16', 'Australia:R18+', 'Brazil:18', 'Canada:18A::(Alberta/British Columbia/Ontario)', 'Canada:14A::(Manitoba)', 'Canada:16+::(Quebec)', 'Colombia:18', 'Denmark:16::(new rating)', 'Finland:K-16', 'France:12::(with warning)', 'Germany:16', 'Hong Kong:III', 'Hungary:18', 'India:A', 'Ireland:18', 'Ireland:18::(Blu-ray rating)', 'Ireland:18::(DVD rating)', 'Italy:VM14', 'Japan:R18+', 'Japan:R15+', 'Mexico:B15::(VHS and DVD rating)', 'Netherlands:16', 'New Zealand:R16', 'Norway:15', 'Portugal:M/18', 'Russia:18+', 'Singapore:R21', 'South Korea:18', 'Spain:16', 'Sweden:15', 'Switzerland:16', 'Taiwan:R-18', 'Thailand:18', 'Turkey:18+', 'United Kingdom:18', 'United States:Not Rated', 'United States:TV-PG::(DVD rating)', 'United States:TV-14::(TV rating)', 'United States:TV-MA::(video rating)']"
404,"['Argentina:16', 'Australia:M', 'Austria:16', 'Canada:14A::(Alberta/British Columbia/Manitoba/Ontario)', 'Canada:14A::(Canadian Home Video rating)', 'Canada:14A::(Canadian Home Video)', 'Canada:13+::(Quebec)', 'Chile:14', 'Colombia:12', 'Denmark:15::(DVD and Blu-ray rating)', 'Finland:K-16::(DVD and Blu-ray rating)', 'Germany:16', 'Hong Kong:IIB', 'Hungary:16', 'Ireland:16', 'Ireland:15::(DVD rating)', 'Italy:T', 'Lithuania:N-16', 'Luxembourg:16', 'Malaysia:P13', 'Malta:15', 'Mexico:B15', 'Netherlands:16', 'New Zealand:R13', 'Norway:15::(cinema rating)', 'Philippines:R-13', 'Poland:12', 'Portugal:M/16', 'Russia:16+', 'Singapore:NC16', 'South Africa:16', 'South Korea:15', 'Spain:16::(ICAA)', 'Sweden:15', 'Taiwan:R-15', 'Thailand:18', 'United Kingdom:15', 'United States:PG-13', 'Ukraine:16']"
405,"['Argentina:13', 'Australia:MA15+', 'Australia:M', 'Austria:12', 'Brazil:14', 'Canada:14A::(British Columbia)', 'Chile:14', 'Denmark:11', 'Finland:K-12', 'France:Tous publics', 'Germany:12', 'Hong Kong:IIB', 'Ireland:15A', 'Italy:T::(DVD rating)', 'Japan:G', 'Lithuania:N-13', 'Mexico:B', 'Netherlands:12', 'New Zealand:R13', 'Norway:12::(cinema rating)', 'Philippines:R-16', 'Portugal:M/14', 'Russia:18+', 'Singapore:NC16', 'South Africa:13', 'South Korea:15', 'Spain:12::(ICAA)', 'Sweden:11', 'Switzerland:12', 'Taiwan:PG-12', 'Turkey:13+', 'United Kingdom:15', 'United States:R']"
406,"['Australia:M', 'Austria:14', 'Brazil:14', 'Canada:14A::(British Columbia)', 'Chile:13+::(Netflix self-rating)', 'Finland:K-12', 'Germany:12', 'Ireland:15', 'Japan:G', 'Mexico:B15', 'Netherlands:12', 'New Zealand:M', 'Norway:12', 'Singapore:NC16', 'South Korea:15', 'Sweden:15', 'Switzerland:12', 'Turkey:15+', 'United Kingdom:15', 'United States:R', 'Ukraine:18']"
407,"['Argentina:13', 'Australia:M', 'Austria:14', 'Brazil:14', 'Canada:PG::(Alberta/Manitoba)', 'Canada:PG::(British Columbia)', 'Canada:13+::(Québec)', 'Canada:14A::(Ontario)', 'Canada:PG::(Ontario)', 'Chile:14', 'Colombia:12', 'Denmark:15', 'Finland:K-12', 'France:Tous publics::(with warning)', 'Germany:12', 'Germany:12::(DVD rating)', 'Germany:12::(theatrical)', 'Hong Kong:IIB', 'Hungary:16', 'Iceland:12', 'India:UA', 'Ireland:15A', 'Ireland:15::(DVD)', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Malaysia:P13', 'Mexico:B', 'Netherlands:12', 'Netherlands:16', 'New Zealand:M', 'Nigeria:18', 'Norway:12::(cinema rating)', 'Philippines:R-13', 'Poland:12', 'Portugal:M/14', 'Russia:16+', 'Singapore:PG', 'Singapore:NC16::(Netflix)', 'South Africa:13', 'South Korea:12', 'Spain:12', 'Sweden:15', 'Switzerland:14', 'Taiwan:PG-12', 'Thailand:13', 'United Kingdom:12A', 'United Kingdom:12A', 'United Kingdom:15', 'United States:PG-13']"
408,"['Argentina:13', 'Australia:M', 'Brazil:16', 'Canada:18A::(Alberta)', 'Canada:14A::(British Columbia)', 'Canada:13+::(Quebec)', 'Chile:14', 'Denmark:11', 'Finland:K-12', 'France:Tous publics', 'Germany:12', 'Hong Kong:III', 'Hungary:16', 'Ireland:16', 'Italy:T', 'Japan:PG12', 'Mexico:B15', 'Netherlands:12', 'New Zealand:R16', 'Norway:12::(cinema rating)', 'Peru:14', 'Portugal:M/12', 'Singapore:M18', 'South Africa:16', 'South Korea:18', 'Spain:16', 'Sweden:15', 'Switzerland:12', 'Taiwan:R-18', 'Turkey:15+', 'United Kingdom:15', 'United States:R']"
409,"['Argentina:13', 'Australia:M', 'Austria:12', 'Belgium:KT/EA', 'Brazil:14', 'Canada:14A::(Alberta)', 'Canada:14A::(British Columbia)', 'Canada:14A::(Manitoba)', 'Canada:14A::(Ontario)', 'Canada:13+::(Quebec)', 'Chile:TE+7', 'Denmark:15', 'Finland:K-12', 'France:Tous publics::(with warning)', 'Germany:12', 'Hong Kong:IIB', 'Hungary:16', 'Iceland:16', 'India:A', 'India:UA', 'Indonesia:13+', 'Ireland:12A', 'Italy:T', 'Japan:PG12', 'Lithuania:N-16', 'Malaysia:P13', 'Malta:12', 'Mexico:B', 'Netherlands:16', 'New Zealand:M', 'Norway:12::(cinema rating)', 'Philippines:PG-13', 'Portugal:M/12', 'Singapore:PG13', 'Slovakia:12', 'South Africa:16', 'South Africa:10-12::(DVD rating)', 'South Korea:15', 'Spain:12', 'Spain:16', 'Sweden:15', 'Switzerland:14', 'Taiwan:R-12', 'Thailand:15', 'United Kingdom:15', 'United States:TV-14::(TV rating)', 'United States:PG-13', 'Ukraine:16', 'Vietnam:C16']"
410,"['Ireland:G', 'Italy:T', 'Mexico:A', 'Portugal:M/6', 'Russia:6+', 'United Kingdom:U', 'United States:PG']"
411,"['Germany:12', 'Singapore:NC16', 'United States:R::(#51705)']"
