,0
20,"['Australia:M', 'Colombia:T', 'Germany:12', 'Indonesia:17+', 'Italy:T', 'Japan:G', 'Mexico:B', 'Netherlands:12', 'Portugal:M/12', 'Singapore:PG13', 'South Korea:15', 'Taiwan:R-12', 'United Kingdom:12', 'United States:PG-13', 'Ukraine:12']"
21,"['Argentina:16::(with warning)', 'Australia:M', 'Austria:14', 'Brazil:14', 'Canada:14A::(Alberta/British Columbia/Manitoba/Ontario)', 'Canada:13+::(Quebec)', 'Chile:14', 'Denmark:15', 'Finland:K-12::(video rating)', 'France:Tous publics avec avertissement', 'Germany:16', 'Hong Kong:IIA', 'Hungary:16', 'Iceland:16', 'India:A', 'Ireland:15A', 'Ireland:15::(DVD rating)', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Malaysia:P13', 'Malta:12', 'Mexico:B', 'Netherlands:16', 'New Zealand:M', 'Norway:12', 'Philippines:R-13', 'Poland:15', 'Portugal:M/14', 'Russia:16+', 'Singapore:PG13', 'South Africa:13', 'South Africa:10-12::(DVD rating)', 'South Korea:15', 'Spain:12', 'Sweden:15', 'Switzerland:14', 'Taiwan:R-12', 'Thailand:13', 'Turkey:15+', 'United Kingdom:12A', 'United Kingdom:12::(video rating)', 'United States:PG-13', 'Ukraine:16', 'Vietnam:C16']"
22,"['Argentina:13', 'Australia:M', 'Austria:10', 'Brazil:12', 'Canada:PG::(Alberta)', 'Canada:PG::(British Columbia)', 'Canada:PG::(Manitoba)', 'Canada:PG::(Ontario)', 'Canada:G::(Quebec)', 'Canada:PG::(Saskatchewan)', 'Chile:TE+7', 'Colombia:12', 'Denmark:11', 'Finland:K-12', 'France:Tous publics', 'Germany:12', 'Greece:K-12', 'Hong Kong:IIA', 'Hungary:12', 'Iceland:12', 'India:UA', 'Indonesia:13+', 'Ireland:12A', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Malaysia:P13', 'Mexico:B', 'Netherlands:12', 'New Zealand:M', 'Norway:12::(cinema rating)', 'Philippines:PG-13', 'Poland:12', 'Portugal:M/12', 'Russia:12+', 'Singapore:PG13', 'Slovakia:12', 'South Africa:10-12', 'South Korea:12', 'Spain:7::(ICAA)', 'Sweden:11', 'Switzerland:12', 'Taiwan:R-12', 'Thailand:G', 'Turkey:13A', 'United Kingdom:12A', 'United Kingdom:12::(DVD rating)', 'United States:PG-13', 'Ukraine:12', 'Vietnam:C13', 'Vietnam:C16']"
23,"['Australia:M', 'Austria:12', 'Belgium:KT/EA', 'Brazil:14', 'Canada:14A::(British Columbia)', 'Canada:G::(Québec)', 'Chile:TE', 'Colombia:T', 'Denmark:15::(DVD rating)', 'Finland:K-12', 'France:Tous publics', 'Germany:12', 'India:UA', 'Indonesia:17+', 'Ireland:15A', 'Ireland:15::(Blu-ray rating)', 'Ireland:15::(DVD rating)', 'Italy:T::(DVD rating)', 'Japan:G', 'Lithuania:N-13', 'Malta:15', 'Mexico:B', 'Netherlands:16', 'New Zealand:M', 'Norway:15::(DVD rating)', 'Philippines:R-13', 'Portugal:M/12', 'Singapore:PG13', 'South Africa:13', 'South Korea:12', 'Spain:12::(ICAA)', 'Sweden:15::(DVD rating)', 'Switzerland:12', 'Taiwan:R-12', 'United Kingdom:15', 'United Kingdom:15::(Blu-ray rating)', 'United Kingdom:15::(DVD rating)', 'United States:PG-13::(edited for rerate after appeal)', 'Ukraine:16', 'Vietnam:C13']"
24,"['Argentina:Atp::(with warning)', 'Australia:M', 'Austria:12', 'Belgium:KT/EA', 'Brazil:12', 'Canada:PG', 'Canada:PG::(Alberta/British Columbia/Manitoba/Ontario)', 'Canada:PG::(Canadian Home Video rating)', 'Canada:G::(Quebec)', 'Chile:TE', 'Colombia:12', 'Denmark:11', 'Finland:K-12', 'France:Tous publics', 'Germany:12', 'Hungary:12', 'India:UA', 'Indonesia:13+', 'Ireland:12A', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Luxembourg:12', 'Malaysia:P13', 'Mexico:B', 'Netherlands:6', 'New Zealand:M', 'Nigeria:PG', 'Norway:12::(cinema rating)', 'Philippines:PG-13', 'Portugal:M/12', 'Russia:12+', 'Singapore:PG13', 'South Africa:13', 'South Korea:12', 'Spain:7', 'Sweden:11', 'Switzerland:12', 'Taiwan:GP', 'Thailand:G', 'Turkey:13A', 'United Kingdom:12A', 'United States:PG-13', 'Ukraine:ZA', 'Vietnam:C13']"
25,"['Argentina:13::(with warning)', 'Australia:M', 'Austria:14', 'Brazil:14', 'Canada:PG::(Alberta)', 'Canada:PG::(British Columbia)', 'Canada:PG::(Manitoba)', 'Canada:14A::(Ontario)', 'Canada:G::(Quebec)', 'Chile:14', 'Czech Republic:12', 'Denmark:11', 'Finland:K-12', 'France:Tous publics', 'Germany:16', 'Hong Kong:IIA', 'Hungary:16', 'Iceland:12', 'India:U', 'Indonesia:13+', 'Ireland:15A', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Luxembourg:12', 'Malaysia:P13', 'Maldives:18+', 'Malta:12A', 'Mexico:B', 'Mexico:B-15', 'Netherlands:12', 'New Zealand:M', 'Norway:12', 'Philippines:PG-13', 'Poland:12', 'Portugal:M/12', 'Russia:16+', 'Singapore:PG13', 'Slovakia:12', 'South Africa:10-12', 'South Korea:15', 'Spain:12', 'Sweden:11', 'Switzerland:14', 'Taiwan:R-12', 'Thailand:15', 'Turkey:13+', 'United Kingdom:12A', 'United States:PG-13', 'Ukraine:12', 'Vietnam:C16']"
26,"['Argentina:16::(with warning)', 'Australia:MA15+', 'Austria:14', 'Belgium:KT/EA', 'Brazil:14', 'Canada:14A::(Alberta)', 'Canada:14A::(British Columbia)', 'Canada:14A::(Manitoba)', 'Canada:18A::(Ontario)', 'Canada:13+::(Quebec)', 'Chile:14', 'Colombia:12', 'Czech Republic:12', 'Denmark:11', 'Ecuador:15', 'Finland:K-16', 'France:Tous publics avec avertissement', 'Germany:12', 'Hong Kong:IIB', 'Hungary:16', 'Ireland:15A', 'Italy:T', 'Italy:VM14', 'Japan:R15+', 'Lithuania:N-16', 'Luxembourg:12', 'Malta:15', 'Mexico:B15', 'Netherlands:16', 'New Zealand:RP16', 'Norway:15', 'Peru:14', 'Portugal:M/16', 'Singapore:M18', 'South Africa:16', 'South Korea:15', 'Spain:16::(ICAA)', 'Sweden:15', 'Switzerland:14', 'Taiwan:R-12', 'Thailand:18', 'United Kingdom:15', 'United States:R', 'Ukraine:16']"
27,"['Australia:M', 'Australia:MA15+::(DVD rating)', 'Canada:PG::(Alberta)', 'Canada:PG::(British Columbia)', 'Canada:PG::(Manitoba)', 'Canada:G::(Quebec)', 'Denmark:11', 'Germany:12', 'Iceland:12', 'Ireland:15A', 'Lithuania:N-13', 'Malaysia:P13', 'Netherlands:12', 'New Zealand:R13', 'Philippines:PG-13', 'Portugal:M/12', 'Singapore:NC16', 'Singapore:M18::(Blu-ray)', 'South Africa:13', 'South Korea:15', 'Spain:16::(ICAA)', 'Sweden:11', 'Taiwan:R-12', 'United Kingdom:12A', 'United States:PG-13']"
28,"['Argentina:13::(with warning)', 'Australia:M', 'Austria:14', 'Belgium:KT/EA', 'Brazil:14', 'Brazil:18', 'Canada:14A::(Alberta)', 'Canada:PG::(British Columbia)', 'Canada:PG::(Manitoba)', 'Canada:13+::(Quebec)', 'Chile:TE+7', 'Colombia:12', 'Czech Republic:12', 'Denmark:15', 'Finland:K-12/9', 'France:Tous publics', 'Germany:12', 'Hong Kong:IIB', 'India:UA', 'Indonesia:13+', 'Ireland:15A', 'Italy:T', 'Japan:PG12', 'Lithuania:N-13', 'Luxembourg:12', 'Malaysia:P13', 'Malta:12', 'Mexico:B', 'Netherlands:12', 'New Zealand:M', 'Nigeria:15', 'Norway:12', 'Philippines:PG-13', 'Poland:12', 'Portugal:M/14', 'Russia:16+', 'Singapore:PG13', 'Singapore:M18::(Blu-ray)', 'South Africa:16', 'South Africa:13::(video)', 'South Korea:15', 'Spain:12::(ICAA)', 'Sweden:15', 'Switzerland:14', 'Taiwan:R-12', 'Turkey:15+', 'United Kingdom:15', 'United Kingdom:PG-13', 'United States:PG-13', 'Vietnam:C16']"
29,"['Argentina:13', 'Australia:PG', 'Australia:M', 'Austria:12', 'Belgium:KT/EA', 'Brazil:10', 'Canada:PG::(Alberta)', 'Canada:PG::(British Columbia)', 'Canada:PG::(Manitoba)', 'Canada:G::(Quebec)', 'Chile:TE', 'China:(Banned)', 'Denmark:11', 'Finland:K-12', 'France:Tous publics', 'Germany:12', 'Hong Kong:IIA', 'Hungary:12', 'Iceland:L', 'India:UA', 'Indonesia:13+', 'Ireland:12A', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Malaysia:P13', 'Maldives:15+', 'Malta:12A', 'Mexico:B', 'Netherlands:12', 'New Zealand:PG', 'New Zealand:M', 'Norway:12::(cinema rating)', 'Philippines:PG-13', 'Portugal:M/12', 'Russia:16+', 'Singapore:PG', 'Singapore:PG13', 'South Africa:10', 'South Korea:12', 'South Korea:15', 'Spain:A', 'Sweden:11', 'Switzerland:12', 'Taiwan:PG-12', 'Thailand:G', 'United Kingdom:12A', 'United Kingdom:12::(DVD rating)', 'United States:PG-13', 'Ukraine:12', 'Vietnam:C13']"
