,tconst,primary_title,original_title,start_year,runtime_minutes,genres,actor,actress,composer,director,editor,producer,writer,movrating,r males,r females,r imdb users,r aged 18 29,r aged 30 44,r males aged 18 29,r males aged 30 44,r females aged 18 29,r top 1000 voters,r us users,r non us users,budget,global_gross,budget_inmil,gross_inmil,profit_ratio
198,tt2582500,Shut In,Shut In,2016,91.0,"Drama,Mystery,Thriller","nm6390427, nm5016878, nm0001624",nm0915208,nm1166319,nm1879225,,"nm0352980, nm0529563, nm0954437",nm5429637,PG-13,4.6,5.1,4.8,4.8,4.7,4.5,4.6,5.2,4.5,4.7,4.7,10000000,6891009,10.0,6.891009,0.6891009
199,tt2582782,Hell or High Water,Hell or High Water,2016,102.0,"Action,Crime,Drama","nm1517976, nm0004936, nm0000313, nm0083655",,,nm0533284,,"nm0798930, nm0000916, nm0352402, nm0454004",nm0792263,R,7.6,7.4,7.6,7.7,7.5,7.8,7.6,7.4,7.4,7.9,7.5,12000000,26749794,12.0,26.749794,2.2291495
200,tt2592614,Resident Evil: The Final Chapter,Resident Evil: The Final Chapter,2016,107.0,"Action,Horror,Sci-Fi","nm0322513, nm0731575","nm0000170, nm0005123",nm0368248,nm0027271,,"nm0093337, nm0352820, nm0474709",,R,5.5,6.0,5.5,5.6,5.4,5.5,5.4,6.2,5.5,5.6,5.4,40000000,312242626,40.0,312.242626,7.806065649999999
201,tt2631186,Baahubali: The Beginning,Bahubali: The Beginning,2015,159.0,"Action,Drama","nm1659141, nm2281292, nm0766470",nm0471447,,nm1442514,,,"nm4191232, nm2353436, nm7448575, nm4488268, nm4157919",Not Rated,8.0,7.8,8.1,8.2,7.8,8.2,7.8,7.8,5.9,7.7,7.7,18026148,101281000,18.026148,101.281,5.618560326920649
202,tt2637276,Ted 2,Ted 2,2015,115.0,Comedy,"nm0000242, nm0532235","nm1086543, nm1274797",nm0614774,,,"nm0164063, nm1124997, nm0835959","nm1273148, nm1273397",R,6.3,6.0,6.3,6.4,6.2,6.5,6.2,6.1,5.9,6.3,6.2,68000000,215863606,68.0,215.863606,3.174464794117647
203,tt2638144,Ben-Hur,Ben-Hur,2016,123.0,"Action,Adventure,Drama","nm1658935, nm1527905, nm0763928",nm2258164,,nm0067457,,"nm0376416, nm0199733","nm0908753, nm0164851, nm0725983",PG-13,5.6,6.2,5.7,5.8,5.6,5.8,5.6,6.3,5.0,5.7,5.6,100000000,94061311,100.0,94.061311,0.94061311
204,tt2660888,Star Trek Beyond,Star Trek Beyond,2016,122.0,"Action,Adventure,Sci-Fi","nm1517976, nm0704270, nm0881631",nm0757855,,nm0510912,,,"nm4259881, nm0670408, nm1136647, nm0734472, nm0649460",PG-13,7.0,7.4,7.1,7.2,6.9,7.1,6.9,7.4,6.8,7.2,6.9,185000000,343471816,185.0,343.471816,1.8566044108108108
205,tt2671706,Fences,Fences,2016,139.0,Drama,"nm0000243, nm0376610, nm5381254",nm0205626,nm0953616,,nm0003893,"nm0085542, nm0748784",nm0933025,PG-13,7.2,7.1,7.2,7.3,7.1,7.3,7.1,7.2,6.8,7.3,7.1,24000000,64098857,24.0,64.098857,2.6707857083333333
206,tt2674426,Me Before You,Me Before You,2016,106.0,"Drama,Romance","nm3510471, nm0001097","nm3592338, nm0005216",nm0035661,nm4824763,,"nm0654077, nm1651942",nm4424713,PG-13,7.2,7.6,7.4,7.4,7.2,7.2,7.1,7.7,6.6,7.3,7.3,20000000,208314186,20.0,208.314186,10.4157093
207,tt2674454,Churchill,Churchill,2017,105.0,"Biography,Drama,History","nm0004051, nm0805476, nm0905554",nm0001669,,nm0855300,,"nm1794018, nm3388080, nm1819135, nm1033086",nm3508857,PG,6.0,6.6,6.1,6.2,6.0,6.2,5.9,6.5,5.6,6.1,6.1,6400000,7583773,6.4,7.583773,1.18496453125
